user_id,date,device,sex,Employment_status
450007,28-02-2015,Desktop,Female,other
756838,13-01-2015,Desktop,Male,other
568983,09-04-2015,Laptop,Male,other
190794,18-02-2015,Laptop,Female,other
537909,15-01-2015,Laptop,Male,other
993454,03-03-2015,Laptop,Male,other
377150,15-04-2015,Laptop,Female,salaried
137258,27-01-2015,Mobile,Male,other
608249,12-04-2015,Desktop,Female,other
615615,24-02-2015,Mobile,Female,other
96069,13-04-2015,Mobile,Female,salaried
664476,13-02-2015,Desktop,Female,other
236201,14-03-2015,Desktop,Male,other
796359,02-04-2015,Desktop,Male,other
592962,25-04-2015,Desktop,Male,salaried
971488,27-02-2015,Tablet PC,Female,salaried
610157,11-02-2015,Tablet PC,Female,other
561375,11-04-2015,Tablet PC,Female,other
624556,25-01-2015,Tablet PC,Male,salaried
443293,19-03-2015,Tablet PC,Male,salaried
435414,11-03-2015,Mobile,Female,salaried
969529,14-04-2015,Desktop,Female,self employed
830503,21-01-2015,Desktop,Female,salaried
184748,18-02-2015,Mobile,Male,salaried
68397,02-04-2015,Desktop,Male,other
682442,03-04-2015,Desktop,Male,other
62655,30-01-2015,Desktop,Female,salaried
159517,25-03-2015,Desktop,Male,salaried
78294,19-04-2015,Mobile,Female,other
504960,08-03-2015,Desktop,Female,salaried
449259,15-02-2015,Desktop,Male,salaried
976991,24-04-2015,Desktop,Male,other
639988,03-04-2015,Desktop,Female,other
668253,05-02-2015,Desktop,Male,salaried
838832,08-03-2015,Laptop,Female,salaried
126297,01-01-2015,Laptop,Male,salaried
700880,07-01-2015,Laptop,Male,salaried
606959,21-02-2015,Laptop,Female,salaried
252135,10-03-2015,Mobile,Male,self employed
886066,10-01-2015,Desktop,Male,salaried
283193,12-02-2015,Desktop,Male,salaried
527765,13-03-2015,Mobile,Male,other
265629,27-04-2015,Mobile,Male,salaried
469531,20-04-2015,Mobile,Male,self employed
632470,06-03-2015,Desktop,Male,other
142395,21-02-2015,Desktop,Female,other
948203,03-03-2015,Desktop,Female,salaried
601434,03-02-2015,Desktop,Male,salaried
429473,28-02-2015,Mobile,Female,salaried
291813,28-03-2015,Desktop,Female,salaried
378948,06-03-2015,Mobile,Male,salaried
220197,14-01-2015,Desktop,Female,salaried
245517,23-02-2015,Desktop,Female,self employed
594992,18-04-2015,Mobile,Male,other
231324,22-02-2015,Desktop,Female,salaried
107605,04-03-2015,Desktop,Female,self employed
870834,11-02-2015,Mobile,Male,salaried
604565,03-04-2015,Desktop,Female,other
984873,04-04-2015,Desktop,Female,other
623145,04-04-2015,Mobile,Male,salaried
457209,07-01-2015,Desktop,Female,salaried
13830,05-02-2015,Desktop,Male,other
716584,15-03-2015,Desktop,Male,salaried
434895,07-01-2015,Desktop,Female,salaried
471874,17-02-2015,Desktop,Male,salaried
838723,19-02-2015,Desktop,Male,salaried
731725,26-03-2015,Mobile,Male,salaried
25566,12-04-2015,Desktop,Male,self employed
566349,27-02-2015,Desktop,Female,salaried
880532,10-04-2015,Desktop,Male,salaried
